nobs,mean,skew,kurtosis,median,mode,std,low,peak,q25,q75,iqr,gender
165,240.62020202,-1.6562025877,4.86406582997,245,235,24.9053128612,120,275,235,255,20,Male
196,197.818027211,0.657746047186,-0.0472125260471,185,180,29.6457790369,140,275,180,215,35,Male
128,108.515625,0.629695689628,-1.08320521345,90,45,68.2119839607,25,265,45,192.5,147.5,Male
116,117.770935961,0.445012785993,-1.14705262944,112.5,45,65.0537153661,40,230,45,165,120,Male
94,129.804964539,0.0663182368816,-1.5372388436,120,45,67.5048620887,26.6666666667,225,81.25,205,123.75,Male
112,106.800595238,0.598387268838,-1.11848002038,90,45,73.1939077695,25,270,45,173.75,128.75,Male
99,107.741702742,0.597064603296,-1.39070056951,85,45,74.0689970025,25,250,45,205,160,Male
78,112.756410256,0.502736780088,-0.86810167345,115,45,64.4833880213,25,265,45,145,100,Male
141,89.0693944196,1.11791826338,0.014055494034,45,45,66.7637842193,22.8571428571,275,40,120,80,Male
109,103.298383574,0.779036307869,-0.785002733516,90,45,68.3405050076,22.8571428571,265,45,130,85,Male
90,112.341269841,0.486395741919,-1.10941901605,95,40,63.810858886,25,225,45,165,120,Male
125,87.2834285714,1.24744302663,1.65225059496,90,45,47.6303247051,24,250,45,105,60,Male
119,89.7034813926,1.18028085294,1.06183579431,90,45,48.6050591843,24,225,45,97.5,52.5,Male
62,165.161290323,0.0242891488671,-1.14975783301,155,105,56.9802437603,30,265,105,217.5,112.5,Male
61,150.819672131,0.308667826094,-1.20477208222,125,105,53.8682388239,35,245,105,200,95,Male
65,129.794871795,0.457325412781,-0.451039416833,115,100,56.5039199096,25,250,100,150,50,Male
55,135.909090909,0.398108018481,-0.870128309158,115,105,58.2712381032,30,250,100,197.5,97.5,Male
50,149.4,0.265480940794,-0.975874543335,125,105,58.3407233414,25,255,106.25,213.75,107.5,Male
68,143.014705882,0.318451571894,-0.609935186137,125,100,57.9181706343,30,260,100,196.25,96.25,Male
48,143.125,0.468164622488,-0.520846931327,125,110,48.8260624564,25,235,110,191.25,81.25,Male
52,150.384615385,0.36050516459,-0.688496373061,135,105,53.2397169003,25,255,110,191.25,81.25,Male
35,147.285714286,0.258364517693,-1.03144348813,125,125,57.7227716534,25,250,102.5,207.5,105,Male
57,147.543859649,0.22765023769,-1.05311239229,125,100,61.7658482185,25,260,100,210,110,Male
57,142.807017544,0.614341948094,-1.1737020685,125,100,47.9493294673,75,230,105,195,90,Male
85,116.96302521,0.393146890352,-1.6029185795,70,25,92.6723362076,22.8571428571,275,30,220,190,Male
60,160.111111111,-0.929160733304,0.194278219148,170,165,62.7597319196,25,270,150,200,50,Male
263,124.634437806,1.30860710518,-0.0681048737054,90,90,61.2315082282,80,275,90,152.5,62.5,Male
213,180.66376034,-0.476682845209,-1.04858064689,205,260,75.1382334422,25,275,120,255,135,Male
103,126.667370198,1.12995472621,1.29426769994,110,105,48.3315264731,21.7391304348,270,100,140,40,Male
85,157.117647059,1.11240887507,-0.395042995188,130,130,50.4006096519,100,275,125,210,85,Male
101,149.544554455,0.722885567331,-0.32516729792,145,120,40.655160488,90,250,120,160,40,Male
93,155.135688684,0.419332698953,-1.03632886565,145,120,39.5167822957,90,240,120,185,65,Male
70,168.857142857,-0.314546467723,-1.31718825239,185,185,35.8983826593,115,225,125,190,65,Male
83,168.554216867,-0.224383026285,-1.61956752179,190,120,39.5801011864,115,225,120,200,80,Male
60,166.083333333,-0.194285443843,-1.58521535709,185,190,38.7092976199,110,225,120,190,70,Male
61,159.344262295,-0.0296928507796,-1.68314185828,185,120,36.0609162417,115,220,120,190,70,Male
65,160.846153846,-0.0659944360196,-1.70646439552,185,120,37.6274166693,115,220,120,190,70,Male
102,80.137254902,0.436881036424,0.663296203243,90,95,38.9109186793,24,195,36.25,100,63.75,Male
93,92.2580645161,1.2146068105,2.87100825654,95,90,46.0919845213,25,260,75,105,30,Male
110,89.9545454545,0.791865031361,4.31199287995,95,90,33.0735781289,25,220,86.25,100,13.75,Male
83,82.8554216867,1.10897489882,0.922418377675,85,35,51.5602659499,25,240,35,100,65,Male
89,75.3220973783,0.765939219944,0.47685613149,85,100,41.2345820901,25,190,35,100,65,Male
22,204.318181818,-1.57553718026,2.35186758253,207.5,195,60.1946738535,40,275,195,251.25,56.25,Male
18,193.055555556,-2.11457536144,5.42512220119,195,170,48.2510474523,25,245,176.25,230,53.75,Male
81,131.358024691,4.88207613643,33.7625569519,130,135,15.4162881971,110,245,125,135,10,Male
85,134.823529412,4.73057908912,25.6118674643,135,135,21.1221525589,110,270,125,135,10,Male
41,192.195121951,-0.686262182253,-1.15012817802,230,240,66.626450293,75,275,120,240,120,Male
127,122.272965879,0.825202247823,0.0435529507997,110,110,66.9715524063,25,270,85,137.5,52.5,Male
95,110.807017544,-0.742880862213,0.613692986454,115,110,38.4273166407,25,205,105,130,25,Male
124,109.327142084,-0.948621568569,0.276071041983,115,110,38.0341813671,25,180,100,135,35,Male
91,108.026705292,-0.968848674422,0.671550568948,115,115,34.8204260741,25,185,105,125,20,Male
88,109.678030303,-1.01565855255,2.03185953625,110,105,28.6852674353,30,175,105,125,20,Male
114,128.644312635,1.81323155212,3.3257025194,117.5,110,39.6161764579,20.451640392,270,110,130,20,Male
250,122.8,6.9516762792,47.2142679956,120,120,18.4705170474,120,275,120,120,0,Male
105,133.952380952,0.842953735914,-0.572881893185,105,100,56.8695049176,25,270,95,195,100,Male
118,143.855932203,0.312936447186,-0.990605154434,125,105,55.5306108016,25,260,105,195,90,Male
130,137.423076923,0.54857020622,-0.84001132081,110,100,58.4979770044,25,270,95,205,110,Male
351,116.240944241,0.201263100902,3.9589087138,120,125,23.6182029336,25,230,110,125,15,Male
151,181.690633869,-0.199099020712,-1.19005847862,200,215,45.3352916486,100,275,130,215,85,Male
51,77.5490196078,1.14040724237,0.160163132202,35,25,71.0935075289,25,275,25,147.5,122.5,Female
75,152.0906756,-0.406314202989,-0.910779339564,165,25,75.8902941158,25,275,120,207.5,87.5,Male
69,166.786018755,-0.316800170712,-0.221840765694,155,135,64.2537743036,25,270,130,230,100,Male
43,180.23255814,-0.0897005906101,-0.253194961376,165,270,60.212351823,30,275,142.5,222.5,80,Male
40,161.75,-0.599959376707,-0.254480882248,165,145,69.6917319343,25,270,145,202.5,57.5,Male
56,150.446428571,-0.166322266462,0.460010592325,145,130,58.0661321385,25,275,130,177.5,47.5,Male
50,156.7,-0.356088491453,0.13630319857,155,150,62.4868786226,25,275,135,183.75,48.75,Male
43,143.802013176,1.04239475149,-0.697412334682,105,105,64.7166198403,80,270,105,187.5,82.5,Male
75,142.442101526,0.263557736708,-0.55558469944,125,120,63.9467527314,25,265,115,212.5,97.5,Male
99,118.303949755,0.19773741988,0.192180027247,120,135,56.6298113117,25,270,107.5,135,27.5,Male
47,92.3404255319,0.376143364992,-0.854776961283,80,25,63.1853998069,25,270,30,147.5,117.5,Female
82,104.87804878,0.359243447263,-1.2842444074,92.5,35,73.7703077032,25,260,35,165,130,Female
83,124.096385542,-0.537419367519,-0.863899163645,150,155,60.1411220817,25,275,45,165,120,Female
64,121.078125,0.123495605868,-0.886194986936,137.5,40,70.7456501948,24,270,40,160,120,Female
69,105.391304348,-0.299963735276,-1.76113349121,145,30,62.2952803459,25,190,30,155,125,Female
87,102.988505747,0.234380152591,-1.33435174883,140,25,71.4201578572,25,275,30,165,135,Female
96,99.3402777778,0.102583867887,-1.80809880924,82.5,30,67.9066451224,25,215,30,165,135,Female
86,103.527131783,-0.00821976066831,-1.80480829913,142.5,25,68.5072557902,25,210,30,165,135,Female
77,110.398886827,-0.243316044062,-1.18745504416,140,25,60.7416716045,25,265,40,155,115,Female
38,57.8947368421,1.2647641819,-0.261050790045,30,25,51.9315285401,25,175,25,43.75,18.75,Female
50,102.1,-0.0377317009548,-1.91647625277,140,25,69.0730772443,25,185,30,170,140,Female
74,119.662162162,-0.643006346703,-0.0303983357437,140,90,45.2196671596,25,230,90,145,55,Female
55,82.303030303,0.757221964279,-0.448315553396,40,25,63.0948387563,25,275,28.3333333333,140,111.666666667,Female
62,106.35483871,-0.280261851836,-1.71307182943,145,25,65.3985539877,24,215,26.25,158.75,132.5,Female
50,77.5,0.582737636342,-1.44233481763,40,25,61.2147857956,25,210,25,148.75,123.75,Female
46,85.9782608696,0.515071027597,-1.44527926019,40,30,68.0602319977,25,225,30,155,125,Female
78,85.3418803419,0.39710291336,-1.55677781149,45,25,62.9528375533,25,220,25,150,125,Female
27,138.024691358,0.484090387099,-1.12846316604,95,90,77.061566212,25,270,90,210,120,Male
33,113.03030303,1.68544413626,1.27902425024,95,85,50.210758746,70,260,85,100,15,Male
59,168.317191283,-0.781759154032,-0.102724597047,185,190,61.362338683,40,270,137.5,200,62.5,Female
57,151.842105263,-0.370236663447,-0.860068873303,175,120,64.9671413502,45,265,120,195,75,Female
39,115.897435897,1.1917248225,0.260816476706,90,85,50.7996541841,40,260,85,142.5,57.5,Male
166,126.064257028,0.384781245553,-0.0305803353818,122.5,125,58.3098508749,25,275,100,150,50,Male
82,178.475609756,-0.594456627153,-0.533230010923,195,185,51.452612726,30,275,130,218.75,88.75,Male
121,145.826446281,0.442455836352,-1.37612383158,125,95,53.6800558076,90,260,95,195,100,Male
96,153.125,0.261100226526,-1.20088278756,135,90,56.6478982399,30,270,100,200,100,Male
118,155.962434334,0.411928511064,-1.08215635176,137.5,95,54.1177061137,80,275,105,193.75,88.75,Male
90,140.067183463,0.615961109488,-1.27552846205,110,95,53.8072563268,85,260,95,193.75,98.75,Male
86,176.802325581,0.432452158844,0.311739551575,170,240,33.0161411432,75,240,155,193.75,38.75,Male
195,157.256410256,0.683595466498,-1.04608655433,120,120,56.8221327178,80,275,120,215,95,Male
171,119.191033138,-0.445814689722,1.74749568408,125,125,30.9789154256,30,200,100,130,30,Male
91,171.868131868,-0.153904567924,2.67163559843,170,170,33.336845204,40,270,155,185,30,Male
69,180.289855072,-0.0551004999168,-0.087834793454,175,165,54.6191295918,40,275,150,205,55,Male
98,193.520408163,0.308952027579,-0.216660888016,180,175,42.834572531,80,275,170,223.75,53.75,Male
60,200.666666667,-0.10110159624,-0.761513596878,195,160,47.1651943233,80,275,163.75,241.25,77.5,Male
68,185.514705882,0.309128015424,-0.365577584154,180,175,45.1886544347,80,275,155,215,60,Male
72,187.430555556,0.100336594218,1.83918751318,175,175,40.233632417,40,275,168.75,200,31.25,Male
65,193.769230769,0.232911929246,-0.997884133019,185,175,39.3801079151,120,270,160,230,70,Male
70,194,0.405358576628,-0.580016611483,190,165,30.3385657444,130,270,170,215,45,Male
30,143.833333333,-0.0863954545908,-1.77417418827,180,25,101.994144712,25,275,35,231.25,196.25,Male
17,227.352941176,-0.07715505072,-1.68270348352,215,205,38.4293716966,170,275,190,265,75,Male
28,210.102040816,-1.84789159789,3.41350684311,225,265,60.2441927949,22.8571428571,275,188.75,251.25,62.5,Male
46,204.099378882,-1.6060700737,1.89781752166,225,180,65.2504278939,25,275,185,251.25,66.25,Male
27,196.87654321,-1.34722749954,1.22555564965,205,180,70.3120117555,24,275,175,250,75,Male
20,222.25,0.056878915511,-1.25830070919,217.5,200,33.334479147,165,275,198.75,256.25,57.5,Male
23,222.608695652,-0.0478673033363,-1.50914795523,220,175,37.6156063015,165,275,182.5,260,77.5,Male
32,175.208333333,-0.942860202839,-0.817974067005,212.5,220,84.0435878148,25,260,146.25,236.25,90,Male
34,223.970588235,-2.59046872595,6.7433311339,232.5,220,53.6982228286,25,275,220,255,35,Male
25,165.4,-0.471336503256,-1.64209934609,220,25,104.937314622,25,275,30,250,220,Male
37,207.351351351,-1.55454611909,1.15205330634,230,230,75.484817237,25,275,190,255,65,Male
13,186.923076923,0.350357370148,-0.438512583374,185,155,21.3522167412,155,230,170,195,25,Male
11,199.545454545,1.08595093863,1.11732426304,195,175,30.1853776652,155,275,180,207.5,27.5,Male
20,190,-0.550433271639,0.236686390533,195,200,18.0277563773,145,220,178.75,200,21.25,Male
17,197.058823529,0.610193554184,-1.15746976,185,185,20.7972582702,170,235,180,220,40,Male
14,180.357142857,0.750350851238,0.150477889032,177.5,190,22.4773128251,150,235,165,190,25,Male
23,179.130434783,0.803765028602,1.73237984145,175,175,18.3949528707,150,235,170,190,20,Male
22,164.090909091,-1.84009478068,5.46074109218,165,155,38.2169751561,25,215,151.25,178.75,27.5,Male
18,195.833333333,0.66294171092,-0.325886162834,192.5,155,32.0698023415,155,265,166.25,212.5,46.25,Male
13,174.230769231,0.647662479574,-0.66241102311,170,150,24.0868743259,145,225,155,185,30,Male
16,169.0625,0.616989961627,-0.63985509649,167.5,150,18.4745390673,145,210,153.75,185,31.25,Male
15,175,0.282687779217,-1.30473372781,175,155,20.8166599947,145,210,157.5,195,37.5,Male
17,177.941176471,1.18720803971,0.86061683837,175,165,22.626040667,150,235,165,185,20,Male
23,181.304347826,0.159982582766,-0.354228690311,175,175,18.8942935545,140,220,167.5,195,27.5,Male
17,183.235294118,0.601118179344,-0.0361688853875,180,175,18.3864701272,150,220,175,190,15,Male
18,191.944444444,0.309029302042,-0.761903737516,195,195,21.2876391422,160,235,175,200,25,Male
25,184.4,1.35265424373,1.95807169823,180,180,26.8074616478,150,270,165,200,35,Male
72,211.197089947,-1.50602395806,3.11390034921,220,220,32.1072939708,95,275,212.5,220,7.5,Male
140,126.547619048,1.48484288137,2.14462867325,120,120,46.0777650374,66.6666666667,275,110,120,10,Male
160,129.42797619,1.97390758217,3.30166518981,120,120,46.0957432416,66.6666666667,270,110,120,10,Male
151,128.708609272,1.24191265958,1.6792350666,120,105,50.5056012111,35,275,100,145,45,Male
66,130.378787879,0.217798161791,-0.947343507964,115,85,66.162739022,25,260,91.25,193.75,102.5,Male
74,137.5,0.524362783144,-0.549379823129,120,110,46.2531956529,40,245,106.25,178.75,72.5,Male
55,140.545454545,0.455620737444,-1.05100496076,120,90,50.1422769116,40,245,100,185,85,Male
53,133.962264151,0.531254572033,-0.946764464989,115,95,47.0984365659,40,235,95,185,90,Male
55,130.939393939,1.11980119559,-0.105161857832,105,105,50.2245097279,66.6666666667,260,100,150,50,Male
104,93.3974358974,0.97564809111,1.72750465679,90,85,43.7113217776,25,230,80,105,25,Male
95,91.1578947368,1.08262003452,4.09564003797,95,100,35.4924204776,25,225,80,102.5,22.5,Male
22,128.863636364,0.387421322101,0.906250432333,135,135,57.4838281247,30,265,121.25,140,18.75,Male
62,198.064516129,-1.51355602411,1.54642441651,215,195,66.8372773542,25,270,190,243.75,53.75,Male
60,108.333333333,0.847505276245,4.79013091432,110,110,34.9006526523,25,240,100,115,15,Male
69,119.130434783,0.861729374118,3.3936017745,115,115,36.0249161133,25,225,105,125,20,Male
233,194.834457388,-0.404945300335,1.08353256819,195,190,27.4896958479,120,275,185,210,25,Female
188,151.943262411,0.481472212835,-1.22243240353,137.5,90,62.2482663425,24,255,90,221.25,131.25,Male
74,149.076576577,-0.237038867733,-0.767035632986,152.5,110,66.5687016091,25,275,105,205,100,Male
79,144.240506329,-0.134549819917,-0.93235451783,135,105,68.2516221702,25,270,102.5,207.5,105,Male
240,109.0625,1.26322111469,8.88616125119,105,105,27.3605603089,25,265,100,120,20,Male
56,190.714285714,-0.111659883011,-1.6011022285,195,260,61.7991314912,95,275,138.75,251.25,112.5,Male
38,145.657894737,1.2435771436,-0.0795816825761,120,105,56.1503040793,95,270,106.25,150,43.75,Male
28,144.642857143,1.51190777535,0.991308208784,130,100,52.4051621542,100,270,108.75,150,41.25,Male
35,145.285714286,1.3642766479,0.0658201589233,120,105,59.7846475413,100,275,105,145,40,Male
46,173.586956522,0.496906446323,-1.48357607388,150,110,64.7458496528,100,275,115,255,140,Male
67,152.164179104,1.19648993312,-0.0713718631308,135,105,55.3902294889,100,275,110,152.5,42.5,Male
49,152.551020408,1.02363340883,-0.710196159326,120,115,62.8987074344,95,270,110,150,40,Male
42,147.142857143,1.3515466933,0.280157668524,125,125,56.6436527897,95,275,111.25,145,33.75,Male
52,185.096153846,-0.0247209720456,-1.66418915459,177.5,260,61.5464988742,95,270,130,242.5,112.5,Male
75,171.2,0.303587910401,-1.47728432876,155,105,62.4544634114,90,275,110,232.5,122.5,Male
71,186.338028169,-0.0155274243347,-1.42722303236,175,160,58.9339433656,95,270,140,247.5,107.5,Male
36,140,1.77175913566,1.61512287335,120,105,53.6190264738,100,270,108.75,146.25,37.5,Male
51,182.549019608,0.00211723986889,-1.67158100456,160,260,68.5949502873,90,275,107.5,257.5,150,Male
40,147.25,1.39836071605,0.424645830168,127.5,110,54.6803209574,95,265,110,145,35,Male
43,149.186046512,1.42168228764,0.616677140267,130,120,54.1845493355,95,275,115,150,35,Male
47,131.276595745,-1.53098160967,4.92751822656,135,135,23.7779641664,30,175,120,147.5,27.5,Male
46,122.608695652,-1.47223517787,5.38129436056,125,125,22.8115895991,25,170,115,135,20,Male
78,142.307692308,1.26445661982,5.25487339185,135,135,33.8803731446,30,265,130,155,25,Male
60,129.916666667,0.405119810907,5.47328995853,130,135,23.9876993941,40,225,115,140,25,Male
70,129.142857143,-0.110477441232,7.6833150008,130,135,29.3132274941,25,260,121.25,138.75,17.5,Male
55,129.818181818,1.27161103715,7.85975789643,125,115,31.7083819771,25,275,115,140,25,Male
59,142.627118644,0.954630003215,5.03129922514,140,130,38.8974742351,30,275,130,155,25,Male
76,141.644736842,1.53090573223,2.89760726012,130,130,34.7016243922,90,275,120,155,35,Male
78,134.679487179,-1.8258873926,8.62570628041,135,130,18.5765868562,35,170,125,145,20,Male
60,145.333333333,1.39147253691,2.73644869689,135,125,44.2423879203,35,275,123.75,155,31.25,Male
69,142.753623188,2.28145050222,6.71006147062,135,130,32.286491902,100,275,125,150,25,Male
81,133.765432099,-1.00101621641,3.52075549122,135,115,26.1351055734,30,190,120,150,30,Male
48,142.916666667,0.813843725551,2.6702439426,135,135,39.1156582742,30,255,118.75,160,41.25,Male
61,131.31147541,-1.60273768471,3.76121826107,135,135,30.405748477,25,175,120,150,30,Male
64,121.40625,-0.155172782618,4.57720227438,125,125,34.4994197189,25,260,110,135,25,Male
48,128.958333333,1.01554963964,1.13908014381,125,115,22.2897195411,95,205,115,136.25,21.25,Male
80,135,0.634961701633,0.462605013319,130,120,19.4454364826,95,195,120,145,25,Male
49,136.734693878,1.167366361,3.10146324508,130,135,45.7315929337,25,270,120,140,20,Male
63,149.365079365,1.11084513983,2.04761025113,140,150,45.9683471454,25,275,120,165,45,Male
67,122.288557214,1.61626414976,9.02982058895,125,130,32.8179508135,25,265,105,132.5,27.5,Male
62,132.741935484,-0.16868931288,3.42718562439,135,140,36.7936422821,25,265,116.25,145,28.75,Male
71,133.873239437,0.64327008897,5.82634178181,130,140,34.1310356381,25,275,120,145,25,Male
79,133.164556962,0.961211810498,3.14805285384,130,110,47.06027118,25,275,110,147.5,37.5,Male
74,131.351351351,0.753675220018,8.42497886044,130,135,31.3038433149,25,275,120,143.75,23.75,Male
64,131.484375,2.82205671743,14.6263447428,130,135,24.9949946161,90,275,118.75,140,21.25,Male
48,132.5,0.426259686514,2.52804960668,130,125,45.1386752132,25,270,110,146.25,36.25,Male
63,138.174603175,0.769752308402,0.708984869146,130,130,24.4349084677,90,210,125,152.5,27.5,Male
152,121.825419847,0.473882025164,-1.02158376054,115,35,71.6869815967,25,270,70,197.5,127.5,Male
222,107.99279385,-0.164696622087,-1.21747710365,140,35,57.6021788064,26.8006700168,275,40,155,115,Male
269,101.004224641,0.0619530348879,-1.62791300404,135,35,62.1473838994,23.4432234432,275,35,155,120,Male
12,248.75,-0.124258262925,-0.957113293315,250,240,15.6956735015,220,275,238.75,261.25,22.5,Male
27,237.592592593,0.0435523329591,-0.188193588081,240,245,18.0724042945,205,275,230,245,15,Male
16,251.25,-0.323285763313,-0.906861510036,252.5,260,17.1846588561,220,275,240,262.5,22.5,Male
28,245.357142857,0.0998722103304,-0.706784352908,242.5,235,18.123020652,205,275,233.75,261.25,27.5,Male
19,245.789473684,-1.20823140433,0.610981612527,255,265,29.8356532522,175,275,232.5,267.5,35,Male
29,254.827586207,-2.21979747871,4.55862017606,265,265,24.7916406455,175,275,250,270,20,Male
19,232.631578947,-0.145621611244,-1.08724778809,235,190,28.9903986398,180,275,212.5,257.5,45,Male
39,241.923076923,-0.695481962956,0.0542376365273,240,235,26.3753815045,175,275,232.5,265,32.5,Male
22,257.5,-2.2168862823,5.52134144404,265,265,19.7570470742,185,275,251.25,270,18.75,Male
34,248.823529412,-0.088950082006,-0.710263488528,245,240,17.0232895629,210,275,240,263.75,23.75,Male
20,261.75,-0.901475567934,0.054021697824,265,265,10.9857862714,235,275,255,270,15,Male
40,255,-0.340650980947,-1.310546875,260,275,17.88854382,220,275,235,271.25,36.25,Male
80,210.4375,-0.752369092337,-0.841865572122,225,250,42.0653788019,130,275,188.75,245,56.25,Male
122,156.645199063,0.232846470018,-1.09814109512,130,125,52.6892937005,25,275,115,210,95,Male
51,152.450980392,1.80434040612,3.81470321221,150,145,19.2091825729,125,225,140,160,20,Male
70,150.785714286,-0.490488632533,9.42593327767,145,145,29.5880733004,25,275,140,158.75,18.75,Male
58,154.310344828,1.33519654689,1.59921396752,150,160,21.4445611596,130,220,140,160,20,Male
48,116.145833333,0.386365875894,2.87174062383,122.5,120,42.8325176236,25,265,103.75,135,31.25,Male
41,210.975609756,-0.876346305661,1.00933123224,215,175,45.0368346833,80,275,180,240,60,Male
198,94.6361231361,0.71589322391,-0.354054357843,95,35,62.5852328918,25,245,35,130,95,Male
12,258.75,-1.60170762156,1.29903549458,267.5,270,18.8331489666,210,275,257.5,270,12.5,Male
50,157.5,1.48935015848,1.01177963369,145,135,38.435010082,115,275,135,158.75,23.75,Male
141,170.896656535,0.2290502272,-1.55832787504,140,130,60.543349828,40,265,125,240,115,Male
138,111.623188406,0.227606943565,-1.1104472275,115,25,72.6432819937,24,250,30,163.75,133.75,Male
127,197.454068241,-1.06147004561,0.196275439078,210,240,50.2203485734,66.6666666667,270,190,232.5,42.5,Male
79,112.264323026,-1.53271303528,3.21161612526,115,115,26.5968111731,23.4260614934,160,105,127.5,22.5,Male
80,116.093986336,-0.875880774289,3.37765212054,115,110,24.1469796239,28.8288288288,180,105,130,25,Male
243,159.147560259,-0.501892330186,-1.61378122995,215,25,96.6577600508,22.8571428571,275,30,240,210,Female
133,138.385964912,-0.117977200324,-1.8478819855,200,25,98.4538265385,25,275,25,230,205,Female
